City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Nizhniy Kuranakh,RU,2021-09-17 20:08:37,58.8353,125.4869,37.72,92,100,14.27
105,Sur,OM,2021-09-17 20:08:38,22.5667,59.5289,84.67,69,5,12.24
106,Cherskiy,RU,2021-09-17 20:07:11,68.75,161.3,39.92,81,100,3.87
107,Faanui,PF,2021-09-17 20:08:38,-16.4833,-151.75,79.14,71,0,21.3
108,Bosaso,SO,2021-09-17 20:08:38,11.2842,49.1816,90.09,54,0,3.24
109,Barrow,US,2021-09-17 20:07:42,71.2906,-156.7887,33.82,86,90,10.36
110,Torbay,CA,2021-09-17 20:05:30,47.6666,-52.7314,67.87,61,0,3.0
111,Vanavara,RU,2021-09-17 20:08:39,60.34,102.2797,33.89,82,100,3.58
112,Amboasary,MG,2021-09-17 20:08:39,-25.0333,46.3833,68.81,81,58,11.27
113,Urusha,RU,2021-09-17 20:08:39,54.05,122.9,29.48,93,4,4.47
114,Nouakchott,MR,2021-09-17 20:08:39,18.0858,-15.9785,78.73,77,100,12.82
115,Loandjili,CG,2021-09-17 20:08:40,-4.7561,11.8578,74.86,84,98,9.91
116,Tasiilaq,GL,2021-09-17 20:07:28,65.6145,-37.6368,30.38,66,100,1.92
117,Vardo,NO,2021-09-17 20:08:00,70.3705,31.1107,40.98,75,75,9.22
118,Wewak,PG,2021-09-17 20:08:40,-3.5534,143.6268,76.51,89,90,5.68
119,Buraydah,SA,2021-09-17 20:07:46,26.326,43.975,84.65,19,8,11.05
120,Olinda,BR,2021-09-17 20:08:40,-8.0089,-34.8553,76.77,81,28,14.54
121,Ampanihy,MG,2021-09-17 20:08:41,-24.7,44.75,66.2,80,68,11.9
122,Gazojak,TM,2021-09-17 20:08:41,41.1875,61.4036,71.15,36,0,15.61
123,Tiznit,MA,2021-09-17 20:08:41,29.5833,-9.5,65.53,82,25,3.78
124,Vestmannaeyjar,IS,2021-09-17 20:07:47,63.4427,-20.2734,47.35,63,100,15.46
125,Nikolskoye,RU,2021-09-17 20:08:01,59.7035,30.7861,46.29,76,55,3.36
126,Balakhninskiy,RU,2021-09-17 20:08:41,58.0106,114.2769,30.83,91,10,2.17
127,Caraballeda,VE,2021-09-17 20:08:42,10.6112,-66.8522,83.03,81,40,10.11
128,Majenang,ID,2021-09-17 20:08:42,-7.2975,108.7642,73.62,98,73,2.89
129,Sibolga,ID,2021-09-17 20:08:42,1.7427,98.7792,75.96,89,47,2.84
130,San Cristobal,VE,2021-09-17 20:07:49,7.7669,-72.225,84.34,42,9,8.3
131,Araouane,ML,2021-09-17 20:08:43,18.9048,-3.5265,101.44,18,26,2.62
132,Chake Chake,TZ,2021-09-17 20:08:43,-5.2459,39.7666,75.42,74,0,12.39
133,Conceicao Do Araguaia,BR,2021-09-17 20:08:43,-8.2578,-49.2647,102.29,15,25,7.85
134,Shakawe,BW,2021-09-17 20:08:44,-18.3667,21.85,71.4,14,0,6.85
135,Isangel,VU,2021-09-17 20:08:44,-19.55,169.2667,71.04,83,100,16.31
136,Airai,TL,2021-09-17 20:07:40,-8.9266,125.4092,56.59,59,99,3.09
137,Havre,FR,2021-09-17 20:08:44,49.5833,0.3333,64.49,62,100,6.64
138,Avarua,CK,2021-09-17 20:07:42,-21.2078,-159.775,78.85,65,20,18.41
