City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Nouakchott,MR,79.95,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
309,Sabzevar,IR,77.74,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
313,Shache,CN,78.87,clear sky,38.4167,77.2406,Delong Hotel
318,Charters Towers,AU,83.37,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
320,Gigmoto,PH,86.76,broken clouds,13.7796,124.39,Cj's Travellers Inn
323,Lar,IN,84.99,scattered clouds,26.2039,83.9717,Ovaiskarni ward Lar
328,Teresina,BR,78.51,clear sky,-5.0892,-42.8019,Metropolitan Hotel‎
329,Itoman,JP,86.38,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
335,Harlingen,US,85.33,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
336,Rani,IN,82.71,scattered clouds,25.3503,73.3089,Bhawna Engineering Works
337,Cabo San Lucas,MX,82.81,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
343,Ballina,AU,80.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
345,Salaya,IN,83.53,overcast clouds,22.3167,69.6,sumbhaiya suny Muslim Jama
355,Joshimath,IN,77.7,clear sky,30.5667,79.5667,Shivalik Camps & Resort
356,Hobbs,US,76.03,clear sky,32.7026,-103.136,Best Western Executive Inn
361,Kulhudhuffushi,MV,82.08,broken clouds,6.6221,73.07,Hondaafushi Island Resort
365,Bontang,ID,82.83,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
366,Veraval,IN,81.91,broken clouds,20.9,70.3667,Lords Inn Somnath
370,Hasaki,JP,77.4,light rain,35.7333,140.8333,Hotel Sunrise Choshi
372,Katsuura,JP,80.71,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
377,Sorong,ID,77.95,moderate rain,-0.8833,131.25,waigo splash hotel
379,Namatanai,PG,82.4,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
380,Kirakira,SB,84.43,scattered clouds,-10.4544,161.9205,SanBiz Lodge
382,Arys,KZ,79.02,clear sky,42.4252,68.795,Gostinitsa
384,Nishihara,JP,85.66,few clouds,26.1842,127.7558,Minshuku Agaihama
385,Stephenville,US,78.89,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
386,Garowe,SO,77.59,broken clouds,8.4054,48.4845,Curubo Hotel
387,Careiro Da Varzea,BR,77.61,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
394,Dhari,IN,80.51,broken clouds,21.3333,71.0167,Anand pan & coldrinks
397,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
398,Kochi,IN,82.38,overcast clouds,9.9399,76.2602,Hotel Abad
400,Bubaque,GW,80.19,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
401,Erenhot,CN,75.33,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
406,Edgewater,US,77.02,overcast clouds,28.9889,-80.9023,Islander Beach Resort
409,Alofi,NU,78.24,light rain,-19.0595,-169.9187,Taloa Heights
414,Kuching,MY,84.42,light rain,1.55,110.3333,The Ranee Boutique Suites
416,Trinidad,BO,79.77,few clouds,-14.8333,-64.9,Hotel Piesta
418,Fare,PF,78.15,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
419,Cao Bang,VN,82.08,broken clouds,22.6667,106.25,khách sạn 88
425,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
428,Sarkand,KZ,85.14,overcast clouds,45.41,79.9186,Гостиница Сарканд
432,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
434,Hervey Bay,AU,75.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
