City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Pietarsaari,FI,63.65,22.6833,44.89,75,100,5.32,overcast clouds
312,Vasteras,SE,59.6162,16.5528,48.11,76,90,10.36,overcast clouds
313,Shache,CN,38.4167,77.2406,78.87,20,0,5.06,clear sky
314,Chenzhou,CN,25.8,113.0333,95.07,43,25,7.18,scattered clouds
315,Berezovyy,RU,51.6667,135.7,56.66,37,28,13.24,scattered clouds
316,Fairview,US,40.8126,-73.999,72.27,87,90,3.0,overcast clouds
317,Rawson,AR,-43.3002,-65.1023,56.32,41,36,6.58,scattered clouds
318,Charters Towers,AU,-20.1,146.2667,83.37,28,0,14.76,clear sky
319,Kibala,TD,9.1104,18.3463,70.54,96,100,3.47,light rain
320,Gigmoto,PH,13.7796,124.39,86.76,68,67,5.79,broken clouds
321,Mayskiy,RU,47.6931,40.1025,47.61,64,74,4.21,broken clouds
322,Anyksciai,LT,55.5256,25.1026,43.54,67,100,14.94,overcast clouds
323,Lar,IN,26.2039,83.9717,84.99,74,30,4.29,scattered clouds
324,Wolfeboro,US,43.584,-71.2073,66.18,94,90,0.0,overcast clouds
325,Solton,RU,52.8429,86.4787,58.68,67,100,12.08,overcast clouds
326,Price,US,39.5994,-110.8107,69.12,20,1,8.05,clear sky
327,Mulheim-Karlich,DE,50.3833,7.5,56.08,99,34,0.25,scattered clouds
328,Teresina,BR,-5.0892,-42.8019,78.51,73,0,5.75,clear sky
329,Itoman,JP,26.1247,127.6694,86.38,70,20,9.22,few clouds
330,Sinjar,IQ,36.3209,41.8754,74.68,34,0,4.38,clear sky
331,Nantucket,US,41.2835,-70.0995,70.03,94,40,9.22,scattered clouds
332,Fenoarivo,MG,-18.933,47.4354,57.27,88,20,9.22,few clouds
333,Norman Wells,CA,65.282,-126.8329,47.08,71,100,7.47,overcast clouds
334,Tigil,RU,57.8,158.6667,59.88,39,76,14.18,broken clouds
335,Harlingen,US,26.1906,-97.6961,85.33,89,1,4.61,clear sky
336,Rani,IN,25.3503,73.3089,82.71,73,36,5.44,scattered clouds
